recipe name,Category,Description,Instructions,Grocery Items,Grocery Quantities,Grocery Types,Total Time,Serving Size,Fused Grocery,Total Calories,Total Protein,Total Fat,Total Carbs,Total Cost
Creamy Coconut Polenta,dinner,"Served as a side dish topped with chopped fresh herbs, this creamy polenta uses coconut milk for rich flavor.","Bring Silk and salt to a boil in a medium saucepan. Slowly stir in cornmeal.
Return to a boil, then reduce to a simmer and cook for 15 minutes until very thick, stirring often to prevent polenta from sticking to pan.
Remove from heat and stir in cream cheese and margarine until fully incorporated.
Spoon into a dish or press gently into a large oiled bowl, then turn over for molded polenta.
Garnish with parsley, chives or other chopped herbs.","silk unsweetened coconutmilk
salt
organic cornmeal
non-dairy cream cheese
vegan margarine 
chopped parsley","[3.5, 1.0, 1.0, 0.25, 1.0, 1.0]","cup
teaspoon
cup
cup
tablespoon
",,6.0,"cup of silk unsweetened coconutmilk
teaspoon of salt
cup of organic cornmeal
cup of non-dairy cream cheese
tablespoon of vegan margarine 
of chopped parsley",359.5,6.0,19.25,41.0,2.635
10 Of Our Creamiest Cheese Grits Recipes,dinner,Corey Williams is a food writer for MyRecipes and Allrecipes. She has a decade of journalism experience.,,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Heres Why You Shouldnt Use Your Microwaves Popcorn Button,appetizer,Want to know how to make better popcorn? Listen.,,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
25 Flavored Popcorn Recipes,appetizer,"Hannah Klinger is a writer, editor, and content manager at Savory Magazine. She has a passion for helping home cooks build their confidence in the kitchen with hacks, how-tos, and guides to inspire them to try something new. She's contributed to America's Test Kitchen, Cooking Light, Food & Wine, EatingWell, and more.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Caramel Corn I,dessert,"This caramel corn is great for Monday night football. The assortment of nuts makes it deluxe caramel corn. It takes a bit of time, but is more than worth it.","Preheat oven to 250 degrees F (120 degrees C).
Add 1 tablespoon of the oil to a 4 quart saucepan, and heat over high heat. When oil is hot, add 1/2 cup of popping corn. Keep pan moving constantly. When corn stops popping, remove from heat. Place popped corn in oven to keep warm. Repeat until all corn has been popped. Set aside.
Melt margarine or butter in a medium saucepan, and then stir in brown sugar, syrup, and salt. Bring to a rolling boil, stirring constantly; boil without stirring for 5 minutes. Remove from heat.
Stir baking soda, vanilla, peanuts, pecans, and almonds into brown sugar mixture. Quickly pour nut mixture over warm popcorn, and toss until well coated. Spread on greased cookie sheets.
Bake for 45 minutes, stirring well every 15 minutes. Cool on aluminum foil, and store in an air-tight container.","vegetable oil
unpopped popcorn
butter
packed brown sugar
light corn syrup
salt
baking soda
vanilla extract
peanuts
chopped pecans
almonds","[5.0, 2.5, 1.0, 2.0, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0]","tablespoon
cup
cup
cup
cup
teaspoon
teaspoon
teaspoon
cup
cup
cup",,25.0,"tablespoon of vegetable oil
cup of unpopped popcorn
cup of butter
cup of packed brown sugar
cup of light corn syrup
teaspoon of salt
teaspoon of baking soda
teaspoon of vanilla extract
cup of peanuts
cup of chopped pecans
cup of almonds",5969.0,73.3,434.2,570.9,5.965
Caramel Corn II,dessert,We always made this for Christmas. This could be made into 20 popcorn balls if desired.,"Add 1 tablespoon of the oil to a 4 quart saucepan, and heat over high heat. When oil is hot, add 1/2 cup of popping corn. Keep pan moving constantly. When corn stops popping, remove from heat. Repeat until all corn has been popped. Place popped corn into a buttered bowl.
In a 3 quart saucepan, combine sugar, salt, butter, dark corn syrup, and water. Stir until sugar dissolves. Stir in vinegar. Boil sugar mixture to hard ball stage, 248 degrees F (118 degrees C). Remove caramel from heat. Stir in soda. Beat to thoroughly dissolve the soda.
Pour hot caramel over popcorn, and quickly stir into popcorn; work quickly for the caramel sets up fast. Spread out on wax paper to cool. Store in a tightly covered container.","unpopped popcorn
vegetable oil
white sugar
salt
butter
dark corn syrup
water
distilled white vinegar
baking soda","[1.0, 2.0, 1.0, 1.0, 2.0, 0.5, 0.5, 0.5, 0.5]","cup
tablespoon
cup
pinch
tablespoon
cup
cup
tablespoon
teaspoon",,10.0,"cup of unpopped popcorn
tablespoon of vegetable oil
cup of white sugar
pinch of salt
tablespoon of butter
cup of dark corn syrup
cup of water
tablespoon of distilled white vinegar
teaspoon of baking soda",1439.0,4.4,53.0,274.2,1.115
Filipino Ribs,dinner,"Spareribs glazed with the sweet, tangy taste of the Philippines. One of the honey coating ingredients, star anise, is native to China; it is a star-shaped, dark brown pod that contains a pea-sized seed in each of its eight segments. Star anise is available at all Asian markets as well as many general grocery stores.","Place ribs in a 5 to 6 quart stock pot with the 2 wedged onions, 4 tablespoons of the soy sauce, pepper and star anise. Bring all to a boil. Reduce heat to medium low, cover and let simmer in meat juices until ribs are tender when pierced, about 1 1/4 hours. Stir occasionally.
Meanwhile, heat oil in a medium skillet over medium heat. Add remaining chopped onion and saute, stirring often, until onion is soft. Blend in the ginger, honey, sugar, Worcestershire sauce, lemon juice and remaining 2 tablespoons of soy sauce. Cook all together, stirring, until well blended. Remove from heat.
Preheat oven to 400 degrees F (200 degrees C).
Using tongs, remove ribs from stock pot and arrange in a single layer in an 11x16 inch baking dish. Brush evenly with the honey mixture and bake in the preheated oven, basting often with pan drippings, about 30 minutes or until ribs are well glazed.","pork spareribs
onions
onion
soy sauce
ground black pepper
whole star anise pods
vegetable oil
grated fresh ginger
honey
brown sugar
worcestershire sauce
lemon juice","[6.0, 2.0, 1.0, 6.0, 0.25, 6.0, 1.0, 1.0, 0.5, 2.0, 1.0, 1.0]","pounds
medium
medium
tablespoon
teaspoon

tablespoon
tablespoon
cup
tablespoon
tablespoon
tablespoon",,11.0,"pounds of pork spareribs
medium of onions
medium of onion
tablespoon of soy sauce
teaspoon of ground black pepper
of whole star anise pods
tablespoon of vegetable oil
tablespoon of grated fresh ginger
cup of honey
tablespoon of brown sugar
tablespoon of worcestershire sauce
tablespoon of lemon juice",5594.5,384.275,381.825,126.025,31.5725
Italian Country Style Ribs,dinner,"This is a recipe that I came up with when I got tired of 'the same old thing'. It's easy and delicious. You can add things like mushrooms or peppers. Serve with white rice or noodles, salad and bread. You can pour the sauce over the rice/noodles.","Heat the oil in a extra-large skillet over medium-high heat. Add ribs to skillet and brown on all sides. Pour spaghetti sauce over ribs and stir in the water. Reduce heat and simmer, covered for 1 hour. Turn ribs after 1/2 hour of cooking. If the sauce gets too thick, thin it with a little more water.","country style pork ribs
spaghetti sauce
water
olive oil","[3.0, 1.0, 0.5, 2.0]","pounds
 jar
cup
tablespoon",,6.0,"pounds of country style pork ribs
 jar of spaghetti sauce
cup of water
tablespoon of olive oil",1954.0,72.0,172.0,0.0,7.6
23 Delicious Ways the World Cooks Pork Shoulder,dinner,"Carl Hanson is a Senior Editor at Allrecipes who has been writing about food and wine for nearly 20 years. He enjoys creating content that informs, entertains, and assists busy home cooks get nourishing meals on the table for their families.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
10 Best Side Dishes for Pork Tenderloin,dinner,"Mary Claire Lagroue works as an associate commerce editor at Food & Wine. A former associate editor at Allrecipes, she joined Dotdash Meredith in 2019. She has written about food since 2017, and her work can be found in Cooking Light, Southern Living, and more.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
"14 Pork Tenderloin Recipes That Are Tender, Tasty, and Top-Rated",dinner,"Carl Hanson is a Senior Editor at Allrecipes who has been writing about food and wine for nearly 20 years. He enjoys creating content that informs, entertains, and assists busy home cooks get nourishing meals on the table for their families.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Chicken Pot Pie I,dinner,Easy Chicken Pot Pie.,"Boil or steam the chicken breasts until done. Dice.
Mix together undiluted soup, canned vegetables, and diced chicken. Pour mixture into pie shell, and cover with the second crust. Crimp the edges, and make slits in the top crust.
Bake at 375 degrees F (190 degrees C) for 45 minutes, or until crust is golden brown.","skinless
condensed cream of chicken soup
mixed vegetables
pastry for a 9 inch double crust pie","[4.0, 1.0, 2.0, 1.0]","
 can
 cans
recipe",,8.0,"of skinless
 can of condensed cream of chicken soup
 cans of mixed vegetables
recipe of pastry for a 9 inch double crust pie",0.0,0.0,0.0,0.0,4.0
Chicken Pot Pie II,dinner,This is a very hearty and flavorful pot pie!!,"In a large saucepan over medium high heat, combine the chicken meat, chicken broth, salt and pepper. Bring to a boil and reduce heat to low. Cover and let simmer for 30 minutes, or until chicken is no longer pink in the center and the juices run clear.
Remove the chicken and let cool. Pour the remaining chicken broth mixture into a measuring cup. Let stand; spoon off fat. Add enough milk to the broth mixture to equal 2 1/2 cups. Cut chicken into 1/2 inch pieces.
In the same pan, melt butter or margarine over medium heat. Add the onion and celery. Saute, stirring, for 3 minutes. Stir in flour until well blended. Gradually stir in broth mixture. Simmer, stirring constantly, until the sauce thickens and boils. Add the chicken, vegetables, parsley and thyme. Pour mixture into a 1 1/2 quart deep casserole dish.
Preheat oven to 400 degrees F (200 degrees C).
Roll out pastry 1 inch larger than the diameter of the casserole dish on a lightly floured surface. Cut slits in the pastry for venting air. Place pastry on top of casserole. Roll edges and cut away extra pastry; flute edges by pinching together. Reroll scraps to cut into decorative designs. Place on top of pastry. Brush pastry with beaten egg and bake in the preheated oven for 30 minutes or until the crust is golden brown and the filling is bubbling. Let cool for 10 minutes and serve.","skinless
chicken broth
salt
ground black pepper
milk
butter
onion
chopped celery
all-purpose flour
frozen mixed vegetables
chopped fresh parsley
dried thyme
pastry for a 9 inch single crust pie
egg","[1.5, 1.0, 0.5, 0.25, 1.5, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.5, 1.0, 1.0]","pounds
cup
teaspoon
teaspoon
cup
tablespoon

cup
cup
cup
tablespoon
teaspoon

",,4.0,"pounds of skinless
cup of chicken broth
teaspoon of salt
teaspoon of ground black pepper
cup of milk
tablespoon of butter
of onion
cup of chopped celery
cup of all-purpose flour
cup of frozen mixed vegetables
tablespoon of chopped fresh parsley
teaspoon of dried thyme
of pastry for a 9 inch single crust pie
of egg",4035.5,83.075,174.875,362.725,8.6775
Crust for Veggie Pot Pie,dinner,This crust is terrific for a vegetable pot pie!,"Heat oven to 425 degrees F (220 degrees C).
Mix 2 cups flour and salt with vegetable shortening using pastry blender. Mix in 6 to 8 tablespoons ice water and stir until mixture forms a ball. Divide ball in half.
Using a rolling pin, roll one of balls to fit the bottom and sides of an 11x7 inch baking dish. Roll out the other half of dough to form top crust.
Use this pie crust as directed in your favorite pie recipe.","all-purpose flour
salt
shortening
ice water","[2.0, 1.0, 1.0, 8.0]","cup
teaspoon
cup
tablespoon",,8.0,"cup of all-purpose flour
teaspoon of salt
cup of shortening
tablespoon of ice water",1794.0,22.0,102.0,186.0,1.01
16 Slow Cooker Pot Roast Recipes That Are Guaranteed Goodness,dinner,"Sarra Sedghi is an Associate Editor at Allrecipes and is based in Birmingham, Alabama. In 2017 she graduated with a Master's of Fine Arts in Narrative Media Writing from the University of Georgia. Her work has also appeared in Atlas Obscura, Eater, Polygon, Thrillist, and Paste Magazine. She is an American-Iranian hybrid and large dog enthusiast, and is very loosely working on a memoir.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Our 20 Best Pot Roast Recipes,dinner,"Mary Claire Lagroue works as an associate commerce editor at Food & Wine. A former associate editor at Allrecipes, she joined Dotdash Meredith in 2019. She has written about food since 2017, and her work can be found in Cooking Light, Southern Living, and more.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Panko Crusted Mashed Potato Cakes,breakfast,Kikkoman Panko Bread Crumbs make a crispy crust for these pan fried mashed potato cakes.,"In a medium bowl, combine potatoes, one egg, onion and black pepper. Divide potato mixture into 8 equal portions. Use your hands to form 1/2 inch thick patties. Dredge patties in flour, then in egg and coat with Panko Bread Crumbs. Meanwhile heat vegetable oil in a large skillet over medium high heat. Add potato patties to the hot oil. Cook until well browned, turn with a spatula and brown on the other side.","chilled mashed potatoes
eggs
chopped onion
black pepper
flour for dredging
kikkoman panko bread crumbs
vegetable oil for pan frying","[2.0, 2.0, 2.0, 0.5, 0.5, 1.0, 3.0]","cup

tablespoon
tablespoon
cup
cup
tablespoon",,8.0,"cup of chilled mashed potatoes
of eggs
tablespoon of chopped onion
tablespoon of black pepper
cup of flour for dredging
cup of kikkoman panko bread crumbs
tablespoon of vegetable oil for pan frying",1092.5,25.25,52.75,124.9,2.075
Vegetable and Feta Latkes,breakfast,There are great for a change of latke pace! Terrific for Hanukah parties when you're looking to give your friends a little extra.,"Place the zucchini, potato and carrots in a colander, place paper towels or a cheesecloth over the top and squeeze out as much moisture as possible. Sprinkle salt over the vegetables and let them drain for 15 minutes. Squeeze vegetable again in paper towels.
In a large mixing bowl combine eggs, vegetables, salt and pepper. Mix well. Stir in matzo meal or flour, parsley and feta.
Heat vegetable oil in a large frying pan. Place vegetable mixture, formed into pancake sized cakes in hot oil and fry until golden brown on both sides. (Cook two to three minutes per side). Add more oil as needed to keep cakes frying up well. Drain fried latkes on paper towels.","grated zucchini
peeled and shredded potatoes
shredded carrots
salt
eggs
salt to taste
freshly ground black pepper
matzo meal
chopped fresh parsley
crumbled feta cheese
vegetable oil","[2.5, 1.0, 1.0, 0.5, 3.0, 1.0, 1.0, 0.75, 0.5, 0.5, 0.25]","cup
cup
cup
teaspoon



cup
cup
cup
cup",,6.0,"cup of grated zucchini
cup of peeled and shredded potatoes
cup of shredded carrots
teaspoon of salt
of eggs
of salt to taste
of freshly ground black pepper
cup of matzo meal
cup of chopped fresh parsley
cup of crumbled feta cheese
cup of vegetable oil",1271.5,38.7,81.35,103.9,3.4
Chicken Potato Salad,lunch,A very tasty appetizer.,"Chop the chicken, eggs, potatoes and pickled cucumbers into very small pieces. Mix all together. Add the salt and mayonnaise, then the olive oil. Toss to coat. Refrigerate for 2 to 3 hours before.","boneless chicken breast halves
hard-cooked eggs
potatoes
pickled cucumbers
salt
olive oil
mayonnaise","[2.0, 2.0, 3.0, 1.25, 0.25, 2.0, 1.0]","


cup
teaspoon
tablespoon
cup",,7.0,"of boneless chicken breast halves
of hard-cooked eggs
of potatoes
cup of pickled cucumbers
teaspoon of salt
tablespoon of olive oil
cup of mayonnaise",2687.75,72.0,235.0,82.95,6.8175
15 Potluck Recipes So Good Theyll Make You Famous at Church,lunch,"The classic church potluck dinner is a rite of passage for many, but you have the opportunity to really shine; These recipes will stand out amid a sea of soupy casseroles and sad salads. In fact, they're so good, you may have fellow church members begging you to make them again and again. Soon, no dinner will be complete without your special dish.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Broccoli Slaw,dinner,"This broccoli slaw recipe is a delicious, crunchy, savory, and sweet broccoli coleslaw that will satisfy. Tastes just as good if not better the next day!","Whisk olive oil, sugar, vinegar, and ramen noodle seasoning packets together in a small bowl.
Combine broccoli coleslaw mix, broken ramen noodles, almonds, raisins, green onions, and green bell pepper together in a salad bowl; fold in dressing. Refrigerate at least 2 hours. Stir again before.","olive oil
white sugar
cider vinegar
chicken ramen noodles
broccoli coleslaw mix
sliced almonds
golden raisins
sliced green onions
chopped green bell pepper","[1.0, 1.0, 1.0, 2.0, 10.0, 0.75, 0.75, 0.5, 0.5]","cup
cup
cup
 packages
ounces
cup
cup
cup
cup",2 hrs 10 mins,,"cup of olive oil
cup of white sugar
cup of cider vinegar
 packages of chicken ramen noodles
ounces of broccoli coleslaw mix
cup of sliced almonds
cup of golden raisins
cup of sliced green onions
cup of chopped green bell pepper",3503.75,19.125,272.725,254.75,4.725
15 Breakfast Potluck Ideas That Will Wow Your Coworkers,dessert,"Melanie Fincher is a Birmingham, Alabamabased food writer who covers everything from cooking techniques to gadget reviews. She has nearly 7 years experience writing news and lifestyle content.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Six Egg Pound Cake,dessert,This recipe for the best pound cake ever rises very high above all others thanks to the use of six eggs. Top with confectioners' sugar or glaze.,"Grease and flour a tube or Bundt pan. Do not preheat oven.
In a medium bowl, mix flour, baking powder and salt. Set aside.
In a large bowl, cream sugar and butter until light and fluffy. Add eggs one at a time, mixing well after each addition. Add vanilla.
Add flour mixture alternately with milk. Beat until smooth. Pour batter into the prepared pan.
Place cake into cold oven, set the temperature to 350 degrees F (175 degrees C), and bake for 60 to 90 minutes, or until toothpick inserted into center of cake comes out clean.","all-purpose flour
baking powder
salt
white sugar
butter
eggs
vanilla extract
milk","[3.0, 1.0, 0.5, 2.5, 1.5, 6.0, 1.5, 0.75]","cup
tablespoon
teaspoon
cup
cup

teaspoon
cup",,14.0,"cup of all-purpose flour
tablespoon of baking powder
teaspoon of salt
cup of white sugar
cup of butter
of eggs
teaspoon of vanilla extract
cup of milk",6287.5,76.35,315.0,790.7,4.0675
One Egg Lemon Pound Cake,dessert,My Grandmother used to make this and it quickly became a household favorite.,"Preheat oven to 350 degrees F (175 degrees C) grease and flour an 8x4 inch loaf pan.
In a large bowl, mix flour, baking powder, sugar and salt. Cut in butter. Break 1 egg into a measuring cup and then fill to the 1 cup line with milk. Add to dry ingredients and beat well. Add vanilla and lemon flavoring.
Pour batter into an 8x4 inch loaf pan. Bake at 350 degrees F (175 degrees C) for 30 minutes or until a toothpick inserted into the center of cake comes out clean.","all-purpose flour
baking powder
white sugar
salt
butter
egg
milk
vanilla extract
lemon extract","[2.0, 2.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0]","cup
teaspoon
cup
teaspoon
cup

cup
teaspoon
teaspoon",,10.0,"cup of all-purpose flour
teaspoon of baking powder
cup of white sugar
teaspoon of salt
cup of butter
of egg
cup of milk
teaspoon of vanilla extract
teaspoon of lemon extract",2704.0,36.45,107.0,398.6,1.8
Sour Cream Pound Cake,dessert,"Much better than the standard pound cake, I got the recipe from a great-aunt, over 40 years ago.","Preheat oven to 375 degrees F (190 degrees C). Grease and flour a 8x4 inch loaf pan.
In a large bowl, cream butter and sugar until light and fluffy. Add sour cream and eggs.
Add flour and pinch of soda, mix well. Pour into a 8x4 inch loaf pan.
Bake at 375 degrees F (190 degrees C) for 1 hour, or until a toothpick inserted into center of cake comes out clean.","all-purpose flour
white sugar
butter
sour cream
eggs
baking soda","[1.5, 1.5, 0.5, 0.5, 3.0, 1.0]","cup
cup
cup
cup

pinch",,10.0,"cup of all-purpose flour
cup of white sugar
cup of butter
cup of sour cream
of eggs
pinch of baking soda",2975.5,35.95,118.5,440.8,2.135
German Marble Cake,dessert,This is a lovely cake with the taste of almond and chocolate and it is almost like a pound cake.,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour one 10 inch tube pan.
In a large bowl, cream the butter with the sugar. Beat in the eggs, then the milk and almond extract.
In another bowl, stir together the flour, baking powder and salt. Beat the flour mixture into the creamed mixture. Turn half of the batter into another bowl and stir in the cocoa and rum.
Layer the light and dark batters by large spoonfuls and then swirl slightly with a knife.
Bake the cake in at 350 degree F (175 degree C) for about 70 minutes, or until it tests done with a toothpick. Transfer to a rack to cool. Makes about 14 to 16.","butter
white sugar
eggs
milk
almond extract
all-purpose flour
baking powder
salt
unsweetened cocoa powder
dark rum","[1.0, 1.5, 4.0, 1.0, 1.0, 3.25, 1.0, 1.0, 0.25, 3.0]","cup
cup

cup
teaspoon
cup
tablespoon
teaspoon
cup
tablespoon",,14.0,"cup of butter
cup of white sugar
of eggs
cup of milk
teaspoon of almond extract
cup of all-purpose flour
tablespoon of baking powder
teaspoon of salt
cup of unsweetened cocoa powder
tablespoon of dark rum",4932.0,69.9,215.75,620.05,3.5075
Cream Cheese Pound Cake I,dessert,"My children always loved this cake. They are grown now, but when they come home they ask me to have ""the cake"" made. It is an easy recipe.","Preheat oven to 325 degrees F (165 degrees C). Grease one 10 inch tube pan.
Cream together the butter, cream cheese, and sugar until light. Stir in the vanilla and the almond extracts. Add the flour and the eggs alternately, beginning and ending with the flour. Pour batter into the prepared pan.
Bake at 325 degrees F (165 degrees C) for 1 hour and 15 minutes or until a toothpick inserted in the center comes out clean.











Naha MS","butter
cream cheese
white sugar
vanilla extract
almond extract
eggs
cake flour","[1.5, 1.0, 3.0, 1.0, 1.0, 6.0, 3.0]","cup
 package
cup
tablespoon
teaspoon

cup",,14.0,"cup of butter
 package of cream cheese
cup of white sugar
tablespoon of vanilla extract
teaspoon of almond extract
of eggs
cup of cake flour",6574.0,67.35,309.0,884.7,5.02
Cherry Cream Cheese Cake,dessert,"This luscious pound cake has a nutty top crust, and is moist and flavorful. Makes a great gift. You can use halved maraschino cherries instead, if you prefer.","Preheat oven to 325 degrees F (165 degrees C).
Cream the cream cheese, butter or margarine, sugar, and vanilla together until smooth. Beat in eggs one at a time. Sift together 2 1/4 cup flour, baking powder, and salt; fold into cream cheese mixture. Dredge cherries in 1/4 cup flour, and fold into batter.
Sprinkle pecans over the bottom of an ungreased 10 inch angel food tube pan. Bottom should be completely covered. Add a few more pecans if necessary. Spoon batter into pan on top of nuts.
Bake for about 75 minutes, or until an inserted wooden pick comes out clean. Allow cake to cool in pan. Run knife around outside edge and center tube. Ease cake out of pan, and onto plate.","cream cheese
butter
white sugar
vanilla extract
eggs
all-purpose flour
baking powder
salt
candied cherries
all-purpose flour
chopped pecans","[1.0, 1.0, 1.5, 1.5, 4.0, 2.25, 1.5, 1.0, 1.0, 0.25, 0.5]"," package
cup
cup
teaspoon

cup
teaspoon
teaspoon
cup
cup
cup",,14.0," package of cream cheese
cup of butter
cup of white sugar
teaspoon of vanilla extract
of eggs
cup of all-purpose flour
teaspoon of baking powder
teaspoon of salt
cup of candied cherries
cup of all-purpose flour
cup of chopped pecans",4480.5,54.35,216.6,574.4,3.405
Lemon Poppy Seed Loaf,dessert,"This has a nice fresh lemon flavor. Makes nice muffins, also.","Preheat oven to 350 degrees F (175 degrees C). Heavily grease and flour two 9x5 inch loaf pans.
Sift together flour, baking soda, and salt. Set aside.
In a large bowl, cream butter or margarine, and sugar until light and fluffy. Beat in eggs, one at a time.
Mix lemon juice and yogurt together and add alternately with the sifted flour mixture to the butter mixture. Mix until just blended. Stir in lemon rind and poppy seeds. Pour mixture into prepared pans and smooth tops.
Bake at 350 degrees F (175 degrees C) for 50 minutes or until browned and a knife inserted in the center comes out clean. Cool on rack for 15 minutes before turning out of pans.","all-purpose flour
baking soda
salt
butter
white sugar
eggs
lemon juice
plain yogurt
lemon zest
poppy seeds","[3.0, 1.5, 0.75, 0.75, 2.0, 3.0, 0.5, 0.75, 3.0, 0.5]","cup
teaspoon
teaspoon
cup
cup

cup
cup
tablespoon
cup",,24.0,"cup of all-purpose flour
teaspoon of baking soda
teaspoon of salt
cup of butter
cup of white sugar
of eggs
cup of lemon juice
cup of plain yogurt
tablespoon of lemon zest
cup of poppy seeds",4682.75,69.075,181.55,705.45,3.4975
Marble Swirl Pound Cake,dessert,A tube cake with vanilla and chocolate layers swirled together to achieve a marbled effect.,"In a large bowl, with electric mixer at low speed, beat sugar and butter or margarine until blended. Increase speed to high, and beat until light and fluffy. Add flour, milk, baking powder, vanilla, salt, and eggs; beat at medium speed until well mixed. Increase speed to high, and beat batter 4 minutes longer.
Remove about 2 1/2 cups batter to a medium bowl. With a wire whisk or fork, beat cocoa into batter in medium bowl until well blended.
Grease a 10 inch tube pan. Alternately spoon vanilla and chocolate layers into prepared pan. With a large spoon, cut and twist through batters to obtain marbled effect.
Bake at 350 degrees F (175 degrees C) for 1 hour, or until a toothpick inserted in the center of the cake comes out clean. Cool cake in pan, and on a wire rack, for 10 minutes. Remove cake from pan, and cool completely.","white sugar
butter
cake flour
milk
baking powder
vanilla extract
salt
eggs
unsweetened cocoa powder","[2.0, 1.0, 3.5, 1.0, 1.5, 2.0, 0.25, 4.0, 0.25]","cup
cup
cup
cup
teaspoon
teaspoon
teaspoon

cup",,14.0,"cup of white sugar
cup of butter
cup of cake flour
cup of milk
teaspoon of baking powder
teaspoon of vanilla extract
teaspoon of salt
of eggs
cup of unsweetened cocoa powder",5223.75,69.15,216.0,750.8,4.4225
10+ Luscious Lemon Pound Cakes,dessert,"The rich taste of pound cake is balanced out with the zingy addition of lemon. Traditionally just made with just four ingredients  a pound each of butter, sugar, eggs, and flour  these 11 lemon pound cake recipes are a delicious twist on the classic dessert. Drizzle on an easy glaze, or simply sprinkle on some powdered sugar, to give your cake the perfect presentation.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Yellow Pound Cake,dessert,"Pound cakes do not need icing, and always taste great either way.","Separate the eggs. Beat the whites to stiff peaks, and reserve the yolks.
In a large bowl, cream sugar and butter or margarine. Beat in egg yolks. Stir in milk and vanilla. Add flour, 1 cup at a time. Fold in stiffly beaten egg whites. Pour batter into well greased large tube pan.
Bake for 90 minutes at 325 degrees F (165 degrees C).","white sugar
butter
eggs
milk
vanilla extract
cake flour","[2.0, 2.0, 8.0, 8.0, 1.0, 3.5]","cup
cup

tablespoon
teaspoon
cup",,14.0,"cup of white sugar
cup of butter
of eggs
tablespoon of milk
teaspoon of vanilla extract
cup of cake flour",7056.5,91.2,414.7,739.1,5.32
20 Bundt Pound Cakes Everyone Will Love,appetizer,Corey Williams is a food writer for MyRecipes and Allrecipes. She has a decade of journalism experience.,,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
20 Best Side Dishes for Prime Rib,dinner,"Mary Claire Lagroue works as an associate commerce editor at Food & Wine. A former associate editor at Allrecipes, she joined Dotdash Meredith in 2019. She has written about food since 2017, and her work can be found in Cooking Light, Southern Living, and more.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Our Top Recipes to Make With Leftover Prime Rib,dinner,"Carl Hanson is a Senior Editor at Allrecipes who has been writing about food and wine for nearly 20 years. He enjoys creating content that informs, entertains, and assists busy home cooks get nourishing meals on the table for their families.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
4 Boneless Prime Rib Recipes,dinner,"Sarra Sedghi is an Associate Editor at Allrecipes and is based in Birmingham, Alabama. In 2017 she graduated with a Master's of Fine Arts in Narrative Media Writing from the University of Georgia. Her work has also appeared in Atlas Obscura, Eater, Polygon, Thrillist, and Paste Magazine. She is an American-Iranian hybrid and large dog enthusiast, and is very loosely working on a memoir.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Prime Rib Christmas Dinner Menu,dinner,"Carl Hanson is a Senior Editor at Allrecipes who has been writing about food and wine for nearly 20 years. He enjoys creating content that informs, entertains, and assists busy home cooks get nourishing meals on the table for their families.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
10 Bone-In Prime Rib Recipes,dinner,Corey Williams is a food writer for MyRecipes and Allrecipes. She has a decade of journalism experience.,,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
15 Best Side Dishes for Pulled Pork,dinner,"Mary Claire Lagroue works as an associate commerce editor at Food & Wine. A former associate editor at Allrecipes, she joined Dotdash Meredith in 2019. She has written about food since 2017, and her work can be found in Cooking Light, Southern Living, and more.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
"15 Top-Rated Pulled Pork Recipes for Sandwiches, Salads, and More",dinner,"Pulled pork is popular at potlucks, big at backyard barbeques, a fan favorite at family picnics, or even adored at your typical Wednesday evening family dinner. Whether it's tucked into a bun with slaw, served over a baked potato, or eaten as is with other barbeque sides, hearty pulled pork is sure to impress any size crowd. Good pulled pork can be made a variety of ways  in the slow cooker, oven, Instant Pot, and grill, and flavoring it may only require a handful of pantry staple spices and sauces. Try out this versatile dish with these 15 top-rated pulled pork recipes.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
15 Leftover Pulled Pork Recipes,dinner,Corey Williams is a food writer for MyRecipes and Allrecipes. She has a decade of journalism experience.,,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
